date,type,currency,price,shares,amount,taxes,fees,isin,value,value currency,security name
2024-10-06,Fx,CHF,0.85760422,1789.73,1534.8800006606,,,,1534.88,CHF,US Dollar
2024-10-06,Buy,CHF,46.57185,25,1164.2962499999999,,,LU0136234068,1166.0463,CHF,UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis
2024-10-06,Buy,CHF,32.350816,20,647.0163200000001,,,IE00B95PGT31,647.99632,CHF,Vanguard FTS Japan UCITS ETF
2024-10-06,Sell,CHF,76.41,42,3209.22,,,IE00B58FQX63,-3204.4,CHF,UBS ETF (IE) CMCI Composite SF UCITS ETF (hedged to CHF) A-acc
2024-10-06,Buy,USD,37.23,48,1787.04,,,IE00BKM4GZ66,1534.8724,CHF,iShares Core MSCI EM IMI UCITS ETF USD (Acc)
2024-10-06,Buy,CHF,22.971888,65,1493.17272,,,IE00B9F5YL18,1495.4127,CHF,Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF
2024-10-06,Buy,CHF,144.32,13,1876.1599999999999,,,CH0237935652,1877.57,CHF,iShares Core SPI® ETF (CH)
2024-10-06,Sell,CHF,3.0773,1929,5936.1117,,,IE00BD8PH067,-5927.2017,CHF,iShares $ Treasury Bond 20+yr UCITS ETF CHF Hedged (Dist)
2024-10-06,Sell,CHF,22.6,192,4339.200000000001,,,IE0009YEDMC6,-4332.69,CHF,HSBC FTSE EPRA NAREIT Developed UCITS ETF CHF Hedged (Acc)
2024-10-06,Buy,CHF,132.24,19,2512.5600000000004,,,IE00BG04LZ52,2516.33,CHF,Xtrackers MSCI USA UCITS ETF 3C - CHF Hedged
2024-10-06,Buy,CHF,141.94138,32,4542.12416,,,IE00BJ0KDR00,4548.944,CHF,Xtrackers MSCI USA UCITS ETF 1C
2024-10-06,Sell,CHF,11.119642,85,945.16957,,,IE00BDR5HM97,-943.74954,CHF,Xtrackers USD High Yield Corporate Bond UCITS ETF 1D
2024-10-06,Fx,CHF,0.85760041,10290.9,8825.480059268999,,,,8825.48,CHF,US Dollar
2024-10-06,Buy,CHF,46.57185,144,6706.346399999999,,,LU0136234068,6716.4064,CHF,UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis
2024-10-06,Buy,CHF,32.350816,113,3655.642208,,,IE00B95PGT31,3661.1322,CHF,Vanguard FTS Japan UCITS ETF
2024-10-06,Buy,CHF,22.971888,365,8384.73912,,,IE00B9F5YL18,8397.3191,CHF,Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF
2024-10-06,Buy,CHF,9.0726603,245,2222.8017735000003,,,IE0005042456,2226.1418,CHF,iShares Core FTSE 100 UCITS ETF GBP (Dist)
2024-10-06,Buy,CHF,144.32,74,10679.68,,,CH0237935652,10687.69,CHF,iShares Core SPI® ETF (CH)
2024-10-06,Buy,CHF,22.6,236,5333.6,,,IE0009YEDMC6,5341.61,CHF,HSBC FTSE EPRA NAREIT Developed UCITS ETF CHF Hedged (Acc)
2024-10-06,Buy,CHF,11.119642,97,1078.605274,,,IE00BDR5HM97,1080.2252,CHF,Xtrackers USD High Yield Corporate Bond UCITS ETF 1D
2024-10-06,Buy,CHF,76.41,55,4202.55,,,IE00B58FQX63,4208.86,CHF,UBS ETF (IE) CMCI Composite SF UCITS ETF (hedged to CHF) A-acc
2024-10-06,Buy,CHF,21.35,73,1558.5500000000002,,,LU1169819635,1560.89,CHF,UBS ETF (LU) MSCI EMU UCITS ETF (hedged to CHF) A-acc
2024-10-06,Buy,USD,37.23,276,10275.48,,,IE00BKM4GZ66,8825.4758,CHF,iShares Core MSCI EM IMI UCITS ETF USD (Acc)
2024-10-06,Buy,CHF,3.0773,2207,6791.601100000001,,,IE00BD8PH067,6801.7911,CHF,iShares $ Treasury Bond 20+yr UCITS ETF CHF Hedged (Dist)
2024-10-06,Buy,CHF,132.24,106,14017.44,,,IE00BG04LZ52,14038.47,CHF,Xtrackers MSCI USA UCITS ETF 3C - CHF Hedged
2024-10-06,Buy,CHF,141.94138,180,25549.4484,,,IE00BJ0KDR00,25587.778,CHF,Xtrackers MSCI USA UCITS ETF 1C
2024-09-17,Sell,USD,99.233137,51,5060.889987,,,US9229085538,-4279.6678,CHF,Vanguard REIT ETF
2024-07-02,Dividend,USD,36.87,,36.87,,,US9229085538,33.323106,CHF,Vanguard REIT ETF
2024-04-04,Buy,USD,85,51,4335,,,US9229085538,3913.32037,CHF,Vanguard REIT ETF